name,tier,activation,ranked,description,source
Blooded (Improved),3,Active (Action),Yes,Make Hard Resilience check to immediately recover from all poisons and drugs. Reduce difficulty per rank.,UP
Bodyguard,3,Active (Maneuver),Yes,Once per round suffer strain up to ranks to upgrade difficulty of melee checks on engaged ally.,SOTB
Capital Sendoff,3,Active (Action),No,Target two ships or vehicles at Close range. Make Hard Cool check to cause minor collision.,SOT
Cavalier,3,Active (Maneuver),No,While riding battle mount direct mount to perform action once per round.,ROT
Ccrysusian Methodology,3,Active (Incidental; Out of Turn),Yes,Once per session when targeted by social check reduce strain by Negotiation ranks minimum 1. Each rank increases uses per session.,EOTI
Center of Being,3,Active (Maneuver),Yes,While wielding Defensive weapon perform maneuver. Critical rating counts as 1 higher per rank until next turn.,FCRB
Combat Veteran,3,Passive,No,Add setback to Brawl and Discipline checks.,DOR
Confidence (Improved),3,Passive,No,Must have Confidence talent. Spend advantage on fear check so allies within short range making fear check add automatic successes.,LBE
Congenial,3,Active (Incidental),Yes,Suffer strain up to ranks to downgrade Charm or Negotiation difficulty or upgrade when targeted.,FH; FC; DOH
Constant Vigilance,3,Passive,No,Always use Vigilance when making initiative checks.,EV
Counterattack,3,Active (Incidental; Out of Turn),No,Must have Parry talent. When using Parry to hit attacker activate weapon quality as if spent advantages.,ROT
Creative Killer,3,Passive,No,Reduce improvised weapon critical rating by 2 minimum 1.,ACRB
Cunning Persona,3,Active (Incidental),No,Suffer 2 strain to make Charm check using Cunning instead of Presence.,CAM
Cunning Snare,3,Active (Action),No,Once per encounter as action create trap. Others moving to engaged range must make opposed Vigilance vs Survival check.,FIB
Customized Cooling Unit,3,Passive,Yes,Must have Signature Vehicle talent. Increase system strain threshold by 2 per rank.,SOT
Daring Turn,3,Active (Maneuver),No,When opponent has advantage on piloted vehicle suffer 2 strain to remove effects.,SOT
Deliberate Tactics,3,Active (Incidental),No,Must be Titan Xxcha or have allegiance. Take no maneuvers or actions to reduce strain to 0 until next turn and add advantages to combat checks.,EOTI
Disarm,3,Passive,No,Spend triumph or advantages with successful Brawl or Melee check to disarm opponent.,FCRB
Disarming Smile,3,Active (Action),Yes,Make opposed Charm check against target within short range to lower all defenses until encounter end.,FC
Dissonance,3,Active (Action),No,With musical instrument make Average Charm or Verse check. Each success inflicts 1 wound. Each advantage inflicts 1 additional.,ROT
Distinctive Style,3,Active (Incidental),No,When making Computers hacking check before rolling add successes and help to results.,GCRB
Dockyard Expertise,3,Active (Action),Yes,At dry dock make Average Knowledge check. Reduce repair cost and time by 20% per rank minimum 100 units and 1 day.,FO
Dodge,3,Active (Incidental; Out of Turn),Yes,When targeted by combat check suffer strain up to ranks to upgrade difficulty equal to strain.,GCRB
Double or Nothing,3,Active (Incidental),No,Suffer 2 strain to increase check difficulty by one. After canceling symbols double remaining advantages.,FC
Druid,3,Passive,No,When casting Conjure with Primal skill always add Summon Ally effect. Must summon living animal. Animal remains even without concentrate.,GEPG
Dual Blow,3,Active (Incidental),No,When resolving combined melee attack suffer 3 strain to hit with secondary weapon instead of spending advantages.,EOTI
Dual Strike,3,Active (Incidental),No,When resolving combined melee attack suffer 2 strain to hit with secondary weapon instead of spending advantages.,ROT
Dumb Luck,3,Active (Incidental),No,Once per session spend Story Point after Critical Injury but before rolling. Opponent rolls two results and you choose.,SOTB
Eagle Eyes,3,Active (Incidental),No,Once per encounter before ranged combat check increase weapon range by one band to maximum extreme.,GCRB
Easy Prey,3,Active (Maneuver),No,Suffer 3 strain until next turn. Character and allies within short range add two setbacks to immobilized target checks.,ROT
Elementalist (Improved),3,Passive,No,Must have Elementalist talent. Gain immunity based on element (fire heat water air earth) and add effect without increasing difficulty.,GEPG
Encoded Communique,3,Passive,No,Upgrade difficulty to decrypt coded messages by Computers ranks.,DA
Encouraging Words,3,Active (Incidental; Out of Turn),No,After engaged ally fails check suffer 1 strain to assist next check this encounter.,DA; LBE; DOH
Ensorcelled (Improved),3,Active (Incidental),No,Must have Ensorcelled with 2+ magic ranks. Once per session force enemies within medium range to make Hard Discipline check. Appearance noticeably enhanced.,GEPG
Exhaustive Questioning,3,Active (Incidental),No,When successful social check on captured enemy within short range reduce strain threshold by 2. Spend advantage to inflict 1 strain.,CAM
Expert Gunner,3,Active (Incidental),No,When making Gunnery check suffer 3 strain to reduce advantages needed to activate weapon qualities by 1 minimum 1.,EOTI
Expert Scrapper,3,Active (Action),No,Must be Saar or have allegiance. Once per encounter engaged with vehicle make Mechanics check. Vehicle suffers 1 hull trauma per success and Critical Hit per triumph.,EOTI
Explosive Casting,3,Active (Incidental),No,When casting Attack spell treat Blast rating as 2x ranks. Spend Story Point to trigger Blast instead of advantages.,GEPG
Extended Reach,3,Active (Incidental),No,While armed with two-handed melee weapon suffer 1 strain to target up to short range instead of engaged.,DOR
Eye for Detail,3,Active (Incidental),Yes,After Mechanics or Computers check suffer strain up to ranks to convert that many successes to advantages.,SM
Face of the Wild,3,Active (Incidental),No,When casting transform spell with Primal skill spend Story Point to maintain until encounter end without concentrate.,GEPG
Fear the Shadows,3,Active (Action),No,Once per session make Hard Deception check to force minion group or rival to flee.,EV
Fearsome Rep,3,Passive,Yes,Add advantage to Coercion check results per rank.,DOR
Feint,3,Passive,Yes,Spend triumph or advantages from missed melee attack to upgrade opponent's next attack difficulty per rank.,FCRB
Feral Strength,3,Passive,Yes,Add 1 damage per rank to melee or Brawl hits.,ABGR; ACRB; EBGR; ECRB
Field Commander,3,Active (Action),No,Make Average Leadership check. Allies equal to Presence may suffer 1 strain to perform maneuver out of turn.,GCRB
Fire Control,3,Active (Maneuver),No,All starship or vehicle combat checks count target silhouette as one higher until next turn.,ACRB
Forgot to Count?,3,Active (Incidental; Out of Turn),No,When opponent makes ranged check spend help to cause weapon to run out of ammo.,GCRB
Form on Me,3,Passive,No,Allies equal to Leadership ranks in short range gain Gain the Advantage benefits.,ACRB
Formation Tactics,3,Active (Action),No,Make Hard Leadership check. Allies within short range equal to successes upgrade attack difficulty until end of next turn.,DOR
Fortified Structure,3,Passive,Yes,Must have Signature Vehicle talent. Increase hull trauma threshold by 1 per rank.,SOT
Frenzied Attack,3,Active (Incidental),Yes,When making Melee or Brawl check suffer strain up to ranks to upgrade attack equal times.,ACRB; ECRB
Full Throttle,3,Active (Action),No,Make Hard Piloting or Driving check. Vehicle top speed increases by 1 maximum 5 for rounds equal to Cunning.,GCRB
Greased Palms,3,Active (Maneuver),Yes,Before social check spend up to 50 credits per rank to upgrade ability once per 50 spent.,ACRB; JOY; FH
Grenadier,3,Active (Incidental),Yes,When making Blast weapon check spend Story Point to trigger Blast instead of advantages. Treat grenades as medium range.,GCRB
Harass,3,Active (Incidental),No,When animal companion makes successful combat check forgo damage to upgrade target's next difficulty.,SS
Hard-Boiled,3,Active (Incidental),No,When recovering strain at encounter end make Simple Resilience check instead. Heal 1 strain per success and 1 wound per advantage.,SOTB
Heroic Resilience,3,Active (Incidental),Yes,After attack hits but before damage spend Story Point to increase soak by Resilience ranks.,FIB; DC
Heroic Will,3,Active (Incidental; Out of Turn),No,Choose two characteristics. Spend Story Point to ignore Critical Injury effects on those characteristics until end of encounter.,GCRB
Hindering Shot,3,Active (Incidental),Yes,Spend Story Point and increase next Gunnery check difficulty by 1. If deals damage target suffers system strain equal to speed.,ND
Hold It Steady,3,Active (Incidental),No,Before Auto-fire check use talent without increasing difficulty. Trigger additional hits cost 2 strain each.,SOTB
Hunter's Quarry (Improved),3,Passive,No,Must have Hunter's Quarry talent. Suffer 2 strain to perform Hunter's Quarry as maneuver.,ETU; SS
Informant,3,Active (Incidental),No,Once per session reveal contact who can shed light on chosen subject.,DA; ND
Innate Focus,3,Active (Incidental),No,Without magic implement increase base damage of Attack spells by 2. Decrease difficulty by one or increase strain by one.,GEPG
Inspiring Rhetoric (Improved),3,Passive,No,Must have Inspiring Rhetoric talent. Allies affected add setback to all checks for rounds equal to Leadership ranks.,GCRB
Interjection,3,Active (Incidental; Out of Turn),No,After social check suffer 3 strain. Make Average Vigilance check to add successes or failures and advantages or help.,DA
Intense Focus,3,Active (Maneuver),No,Perform maneuver suffer 1 strain to upgrade next skill check once.,ABGR; ACRB; ECRB; DOH
Intimidating,3,Active (Incidental; Out of Turn),Yes,Suffer strain up to ranks to downgrade Coercion difficulty or upgrade when targeted.,ACRB; ECRB; FBGR; FCRB
Iron Body,3,Passive,Yes,Remove setback per rank from Coordination and Resilience checks. Reduce unarmed critical by 1 per rank minimum 1.,ND
Jury Rigged,3,Passive,Yes,Choose personal weapon or armor per rank. Increase weapon damage by 1 or reduce critical by 1 or decrease encumbrance by 2 minimum 1.,ACRB; EBGR; ECRB
Justice of the Citadel,3,Active (Incidental),No,Once per round on turn suffer 3 strain to add damage equal to Discipline ranks to melee hit.,ROT
Larger Project,3,Passive,Yes,Must have Signature Vehicle talent. Signature Vehicle can be 1 silhouette larger per rank.,SOT; SM
Laugh It Off,3,Active (Incidental; Out of Turn),No,When targeted by social check spend help or despair to reduce strain. Targeter suffers equal strain.,SOTB
Lethal Blows,3,Passive,Yes,Add +10 per rank to Critical Injury results.,ACRB; ECRB; SS
Made You Talk,3,Active (Action),No,Once per session make opposed social check on captured enemy within short range adding setback per 2 strain suffered.,CAM
Martial Grace,3,Active (Incidental),No,Once per round suffer 3 strain to add damage equal to Coordination ranks to Brawl hit.,KOF
Martial Weapons Master,3,Active (Action),No,With Melee weapon make Average check. Force engaged target to drop weapon or move one range band.,SOTB
Master of Illusion,3,Active (Incidental),No,After successful Mask spell spend Story Point to maintain until encounter end. Two Story Points for session end.,GEPG
Master of the Blade,3,Passive,No,Must be Hacan Letnev N'orr or have allegiance. Add failures to melee check results when engaged with multiple enemies.,EOTI
Mercantile Savant,3,Active (Incidental),No,Must be Naaz-Rokha Hacan or have allegiance. Once per session spend Story Point to reduce item cost by 50% or increase reward by 50%.,EOTI
Mind Bender,3,Active (Maneuver),No,Must be Druaa or have allegiance. Once per session spend Story Point make opposed Discipline vs Vigilance. Make target adopt emotional state or believe false information.,EOTI
Natural,3,Active (Incidental),No,Choose two skills. Once per session reroll check using one of those skills.,GCRB
Net Warrior,3,Active (Action),No,While accessing system via brain-machine interface make opposed Computers vs Computers check. Target suffers 1 strain per success and 1 wound if using interface.,SOTB
Nimble,3,Active (Incidental),No,At turn start spend Story Point to perform Move maneuver as incidental. One additional move maneuver allowed.,SOTB
No Escape,3,Passive,No,Spend advantages from Coercion or help from foe's Discipline. Target cannot perform free maneuver next turn.,KTP
Nobody's Fool,3,Passive,Yes,Upgrade incoming Charm Coercion Deception difficulty once per rank.,ACRB; ECRB; FCRB
Not Even in Death,3,Active (Incidental; Out of Turn),No,Must be N'orr Shikrai or have allegiance. When incapacitated from wounds spend Story Point to immediately make combat check.,EOTI
Opportunist,3,Active (Incidental),Yes,Choose non-combat non-magic skill. Suffer strain up to ranks to convert equal successes to advantages.,SM
Outside the Box,3,Passive,No,Choose characteristic. Once per session make check using that characteristic instead of linked one.,ACRB
Overwhelm Defenses,3,Active (Incidental),Yes,Upon unsuccessful starship or vehicle attack spend advantages per rank to reduce defense by 1 per pair.,ACRB; ND
Painkiller Specialization,3,Passive,Yes,When using painkillers target heals one additional wound per rank. Sixth painkiller still has no effect.,GCRB
Parry (Improved),3,Active (Incidental; Out of Turn),No,Must have Parry talent. When using Parry to reduce damage spend despair or help to automatically hit attacker.,GCRB
Pin,3,Active (Action),No,Make opposed Athletics check to immobilize engaged opponent until end of next turn. Spend triumph to extend one round.,ETU
Plausible Deniability,3,Active (Action),No,Make Hard Coercion check to convince bystanders equal to Willpower to depart quietly.,DA
Primacy,3,Active (Incidental),No,Must be Letnev Winnu or have allegiance. Once per session upgrade non-Presence checks by Presence rating.,EOTI
Point Blank,3,Passive,Yes,Add 1 damage per rank to ranged checks at short range or engaged.,ABGR; ACRB; EBGR; ECRB
Potent Concoctions,3,Passive,No,When Alchemy check generates triumph roll additional die and add results. Each effect once per check.,ROT
Powerful Blast,3,Passive,Yes,Increase Blast damage by +1 per rank.,ACRB; DC
Precise Archery,3,Passive,No,When making ranged check targeting character engaged with ally downgrade difficulty once.,ROT
Preemptive Avoidance,3,Active (Incidental; Out of Turn),No,Spend Story Point to disengage from engaged enemy.,FCRB
Pressure Point,3,Active (Incidental),No,When making unarmed Brawl check deal strain damage instead and inflict additional strain equal to Medicine ranks.,ROT
Pride and Joy (Improved),3,Passive,No,While inside Pride and Joy recover +1 strain. Spend advantage to heal ally 1 strain.,DOR
Rapid Archery,3,Active (Maneuver),No,While armed with bow suffer 2 strain to gain Linked quality with value equal to Ranged ranks.,GCRB
Raptor's Flight,3,Active (Action),No,Must be Druaa Shikrai or have allegiance. Make Hard Piloting check to change vehicle speed instantly. Spend advantages to increase difficulty of attacks.,EOTI
Reflect (Improved),3,Active (Incidental; Out of Turn),No,Must have Reflect talent. When reflecting hit with despair or help hit one target in medium range with same damage.,FBGR; FCRB
Resist Questioning,3,Active (Out of Turn Incidental),No,When targeted by social check suffer 2 strain adding setback. If fails spend despair to provide false information they believe.,CAM
Resourceful Refit,3,Active (Action),No,Make Average Mechanics check to scavenge old attachment to construct new reducing price.,SM
Scathing Tirade (Improved),3,Passive,No,Must have Scathing Tirade talent. Enemies affected add setback to checks for rounds equal to Coercion ranks.,GCRB
Scything Strike,3,Passive,Yes,Unarmed Brawl attacks gain Pierce quality with rating equal to ranks.,KOF
Seize the Initiative,3,Active (Maneuver),No,Once per session make Hard Athletics check as maneuver. On success other PCs may take turns.,FIB
Sense Advantage,3,Active (Incidental; Out of Turn),No,Once per session add two setbacks to 1 NPC check.,FBGR; FCRB
Share Pain,3,Active (Incidental; Out of Turn),No,When animal companion suffers wounds reduce to half then character suffers equal wounds.,FCRB
Shockwave,3,Passive,No,Treat Melee (Heavy) weapons as possessing Blast quality with rating equal to ranks. Don't suffer weapon's Blast damage.,ROT
Shortcut (Improved),3,Passive,No,Must have Shortcut talent. During chase suffer 2 strain to add successes per rank.,ND; EV; SS
Skilled Teacher,3,Active (Incidental; Out of Turn),Yes,Before ally within short range skill check if ally has fewer ranks suffer strain up to ranks to add equal successes.,DOH
Smart Handling,3,Active (Action),No,Once per session aboard silhouette 4+ ship make Smart Handling action making Hard Knowledge check. Ship handling increases by 2 plus 1 per advantage maximum +4.,FO
Snare,3,Active (Action),No,Once per session make Hard Computers check. Once per encounter spend Story Point to force character to make Daunting Vigilance check. If fail stagger until end of next turn.,SOTB
Solo Flight,3,Active (Incidental),No,Before Operating check increase difficulty by 1 to use Piloting skill. Operate multi-pilot vehicle alone.,EOTI
Sorry About the Mess,3,Passive,No,Decrease weapon Critical Rating by 1 minimum 1 against targets not yet acted.,FC
Spec Ops Elimination,3,Active (Incidental),No,Must be Human Yssaril or have allegiance. After successful combat against unaware target inflict Critical Injury without spending advantages.,EOTI
Spur,3,Active (Action),No,Make Hard Riding check to increase beast top speed by 1. Beast suffers 2 strain every round spurred.,SOT
Studious Plotting,3,Passive,No,When making Streetwise or Survival navigation check use Intellect instead of Cunning.,SS
Stunning Blow (Improved),3,Active (Incidental),No,Must have Stunning Blow talent. When dealing strain damage spend triumph to stagger target per triumph.,ACRB; ECRB
Sunder Expertise,3,Passive,No,Each advantage spent to activate Sunder quality damages item two steps instead of one.,DOH
Suppressing Fire,3,Active (Maneuver),Yes,If not making combat check target one character within long range. Target upgrades ranged difficulty once. Affect one additional per rank.,SOTB
Takedown,3,Active (Action),No,Make opposed Brawl vs Resilience against engaged opponent. If succeeds knock prone and immobilize until end of next turn.,SOTB
Time to Go (Improved),3,Active (Maneuver),No,Must have Time to Go talent. When activating allow one engaged ally to perform Move maneuver as incidental.,ACRB; DC
Toughened (Improved),3,Active (Incidental),No,Once per session heal wounds equal to Toughened ranks.,KOF
Tricky Target,3,Passive,No,Count piloted vehicle or starship silhouette as 1 lower when attacked.,ABGR; ACRB; ECRB; FCRB
Trust the Captain,3,Active (Action),Yes,Make Hard Leadership check. If successful allies within short range increase Discipline ranks until encounter end.,DOR
Tuned Maneuvering Thrusters,3,Passive,Yes,Must have Signature Vehicle talent. Increase Signature Vehicle handling by 1 per rank.,SOT
Twisted Words,3,Active (Incidental; Out of Turn),No,When incoming check generates help or despair suffer 1 strain to inflict strain equal to Coercion ranks.,DA
Undercity Contacts (Improved),3,Active (Incidental),No,Must have Undercity Contacts talent. Spend two Story Points to learn target's specific location.,SOTB
University Training,3,Active (Maneuver),No,Must be Hylar or have allegiance. Once per encounter make Intellect skill check as maneuver and add successes.,EOTI
Unremarkable (Improved),3,Passive,No,Extend Unremarkable effects to allies within short range equal to Deception ranks.,CAM
Up the Ante,3,Passive,Yes,When gambling win 10% more credits per rank.,FC
Valuable Facts,3,Active (Action),No,Once per encounter make Average Knowledge check. If successful add triumph to ally check during encounter.,DA; FBGR; FCRB
Well Rounded,3,Passive,No,Choose 2 non-magic skills. Permanently become career skills.,ACRB; EBGR; ECRB; FBGR; FCRB
You Owe Me One,3,Active (Incidental),No,Once per session spend two Story Points to have NPC owe character favor.,SOTB
A Step Ahead,4,Active (Incidental),No,Once per session suffer 2 strain to count Cunning as 1 higher for remainder of encounter.,CAM
AetherSprite (Supreme),4,Active (Action),No,Must have Aethersprite talent. Make Hard Computers check to falsify major distraction. Opponents ignore characters and leave installations unguarded.,EOTI
Analyze Data,4,Active (Action),No,Once per session after capturing data make Average Knowledge check. Add automatic successes equal to ranks to related check.,CAM
Back-to-Back,4,Passive,No,While engaged with allies add setback to combat checks. Cumulative maximum two setbacks.,ROT
Beam Fighter,4,Active (Maneuver),No,When using Pierce beam weapon lose that quality to assign additional hits from weapon equal to Pierce value.,EOTI
Better Luck Next Time,4,Active (Action),No,Make Hard Cool check to force competitor to suffer major misfortune.,EV
Bodyguard (Improved),4,Passive,No,Must have Bodyguard talent. Once per session when protected ally suffers hit suffer it instead.,LBE; FIB; EBGR; FCRB
Bolstered Armor,4,Passive,Yes,Must have Signature Vehicle talent. Increase armor value by 1 per rank.,SOT
Brilliant Evasion,4,Active (Action),No,Once per vehicle encounter make opposed Driving or Piloting check. Stop opponent attacking for rounds equal to Agility.,ACRB; ECRB
Burn Through,4,Active (Incidental),No,After successful break ice action suffer 3 strain to perform second override ice as incidental.,SOTB
By the Book,4,Active (Incidental),Yes,Once per encounter before combat check suffer 2 strain to add success per rank.,DOR
Can't We Talk About This?,4,Active (Action),No,Make opposed Charm or Deception vs Discipline against non-nemesis within medium range. Target cannot attack until end of next turn. Spend advantages to extend or triumph for allies.,GCRB
Capital Sendoff (Improved),4,Passive,No,Must have Capital Sendoff talent. Targets suffer major collision.,SOT
Careful Planning,4,Active (Action),No,Once per session introduce fact into narrative as if Story Point spent.,ACRB; KTP
Center of Being (Improved),4,Passive,No,Suffer 1 strain to use Center of Being maneuver as incidental.,FCRB
Combat Command,4,Active (Incidental),No,When making Initiative check make Simple Leadership check instead. Spend triumph to add successes to all allies' first round checks.,EOTI
Commanding Presence,4,Passive,No,Once per session make opposed Cool vs Discipline check to force target to leave encounter.,LBE
Comrades in Arms,4,Active (Action),No,Once per encounter make Hard Discipline check. Allies up to Presence within short range gain +1 defense.,DOR
Conduit,4,Active (Maneuver),No,Once per encounter spend Story Point to perform magic action as maneuver.,ROT
Deadeye,4,Active (Incidental),No,After inflicting Critical Injury with ranged weapon suffer 2 strain to select any Critical Injury of same severity.,GCRB
Deadly Accuracy,4,Passive,Yes,Choose combat skill. Add damage equal to ranks to hit from that skill. Cannot choose same skill twice.,ABGR; ACRB; ECRB
Death Rage,4,Passive,No,Add +2 damage to melee attacks per Critical Injury suffered.,ROT
Defensive,4,Passive,Yes,Each rank increases melee and ranged defense by one.,GCRB
Defensive Driving,4,Passive,Yes,Increase vehicle defense by 1 per rank piloted.,GCRB
Deflection,4,Active (Incidental; Out of Turn),No,Must have Reflect talent. After using Reflect spend Story Point to Move as incidental to engage opponent.,FCRB
Discredit,4,Active (Action),No,Once per encounter make Hard Deception check to upgrade one character's social checks difficulty once plus once per pair of advantages until encounter end.,DA
Distracting Behavior (Improved),4,Passive,No,Must have Distracting Behavior talent. Inflict two help on NPC checks when NPCs target allies.,FH
Dodge (Improved),4,Active (Incidental),No,When performing Dodge may make Move maneuver as out-of-turn incidental after attack resolves.,KOF
Don't Shoot!,4,Active (Action),No,Once per session make Hard Charm check. Cannot be target of combat checks until encounter end or making combat check.,FC
Dormant Personality Overlay,4,Active (Incidental),No,Select three skills with one or no ranks. Once per session spend Story Point. Count as 4 ranks in those skills until end of encounter. Suffer 1 strain at turn start.,EOTI
Double or Nothing (Improved),4,Passive,No,Must have Double or Nothing talent. When performing also double remaining successes.,FC
Double-Talk,4,Passive,No,Spend advantages or triumph from successful Charm or Deception to disorient opponents within short range equal to Presence.,DOR
Elementary,4,Active (Action),No,Once per session make Hard Perception check at crime scene. Identify all physical characteristics of one person per check success.,SOTB
Elementalist (Supreme),4,Active (Incidental),No,Must have Elementalist talent. When casting Augment Barrier or Transform spell targets gain Elementalist (Improved) ability for duration.,GEPG
Enduring,4,Passive,Yes,Each rank increases soak value by one.,GCRB
Field Commander (Improved),4,Passive,No,Must have Field Commander talent. Affect allies equal to 2x Presence. Spend triumph to allow ally to perform action instead of maneuver.,GCRB
Flicker Step,4,Active (Incidental),No,When casting Arcana spell spend advantages or triumph to vanish and reappear within long range.,GEPG
Fly Quiet,4,Active (Action),No,Once per encounter make Hard Piloting or Operating check. Ship vanishes from sensors until firing weapons or defeated.,EOTI
Formation Tactics (Improved),4,Passive,No,Reduce Formation Tactics difficulty to Average. Spend triumph or advantages to extend effect until encounter end.,DOR
Fortune Favors the Bold,4,Active (Incidental),No,Once per session suffer 2 strain as incidental to flip GM Story Point to Player Story Point.,FC
Full Throttle (Improved),4,Active (Action),No,Must have Full Throttle talent. Suffer 1 strain to attempt Full Throttle as maneuver with Average difficulty. Top speed increases by 2 instead of 1.,ABGR; ACRB; EBGR; ECRB; EV
Future Sight,4,Active (Incidental),No,Must have Nomad allegiance. Once per session after performing action cancel results and perform different action.,EOTI
Holistic Navigation,4,Active (Incidental),No,When making Astrocartography check spend Story Point to remove despair or remove help equal to Perception ranks.,SS
How Convenient!,4,Active (Action),No,Once per session make Hard Mechanics check. One device in encounter spontaneously fails.,GCRB
Improvised Position,4,Active (Action),No,Make Hard Mechanics check spending 12 hours constructing position. Vehicle silhouettes total 4 or less. Provides cover and narrative benefits.,FO
In the Know,4,Active (Action),No,Once per session make opposed Deception vs Vigilance with difficulty downgraded per Deception ranks to make target believe false intelligence.,DA
Incite Distraction,4,Active (Action),No,In crowd or populated area make Average Deception check. Enemies treat area as difficult terrain. Spend triumph for impassable terrain.,CAM
Incite Rebellion,4,Active (Action),No,Once per session make Hard Coercion check to cause beings equal to Coercion ranks to become rebellious until encounter end.,ACRB
Inspiring Rhetoric (Supreme),4,Active (Incidental),No,Must have Inspiring Rhetoric talent. Suffer 1 strain to use Inspiring Rhetoric as maneuver instead of action.,GCRB
It's Not that Bad,4,Active (Action),No,Once per session when ally would suffer Critical Injury make Hard Medicine check to prevent it.,ACRB
Lose Them,4,Active (Action),No,When followed or chased make Hard Stealth check. Add two setbacks to follow checks. Spend triumph to lose pursuers completely.,CAM
Mad Inventor,4,Active (Action),No,Once per session make Mechanics check to cobble together functional equivalent of item. Difficulty based on rarity.,GCRB
Masterful Casting,4,Active (Incidental),No,When casting spell spend triumph to trigger up to three different qualities or effects instead of one.,GEPG
Menace,4,Active (Maneuver),No,Once per round spend maneuver to allow silhouette 2+ creature linked through Animal Companion at short range with enemy to perform Menace. Enemy gains setback.,SS
Moving Target,4,Passive,Yes,If character already acted this round increase ranged defense by 1 per rank.,FIB
Multitasking,4,Active (Incidental),No,Must be Naaz-Rokha or have allegiance. Once per encounter exchange two maneuvers for action to perform two actions.,EOTI
Not Today,4,Active (Incidental),No,Must have Signature Vehicle talent. Once per session spend Story Point to save Signature Vehicle from destruction.,SOT
Offensive Driving,4,Active (Action),No,While driving or piloting select vehicle within medium range. Make opposed Driving or Piloting check. Roll twice on Critical Hit table choosing which applies to each vehicle.,SOTB
Overbalance,4,Passive,No,After enemy engaged makes combat check spend despair or help to stagger attacker until end of next turn.,ND; KTP
Overcharge,4,Active (Action),No,Once per encounter make Hard Mechanics check. Choose cybernetic providing +1 characteristic skill or talent. Provides +2 until encounter end. GM spends despair or help to short out.,GCRB
Parkour! (Improved),4,Active (Incidental),No,Must have Parkour! talent. Once per round suffer 4 strain to move within medium range instead of short range.,SOTB
Polymorph,4,Passive,No,If have Arcana or Divine rank can cast transform spell to transform into magical creatures.,GEPG
Pommel Smash,4,Active (Maneuver),No,After Melee check with two-handed weapon suffer 3 strain to stagger engaged opponent silhouette 2 or less.,EOTI
Precise Aim,4,Active (Incidental),Yes,Once per round when performing Aim maneuver suffer strain up to ranks. Decrease target defense by 1 per strain.,EBGR; ECRB; SS
Prey on the Weak,4,Passive,Yes,Add +1 damage to disoriented target hits per rank.,FIB; FCRB
Pride and Joy (Supreme),4,Active (Incidental),No,Once per session inside Pride and Joy reduce silhouette by 2 minimum 0 for current and following round.,DOR
Prime Positions,4,Passive,Yes,When character or ally takes cover increase ranged attack soak by 1 per rank.,FIB; KTP
Prophetic Aim,4,Passive,No,While benefiting from Aim maneuver despair cannot cause attacks to hit engaged allies.,KTP
Push the Specs,4,Active (Action),No,Make Average Knowledge check in ship or vehicle. Top speed increases by 1 for rounds equal to Intellect. Spend advantage to extend or suffer 2 strain.,FO
Quick-Witted,4,Active (Incidental; Out of Turn),No,Once per encounter after social check make Average Vigilance check. Add successes or advantages per Charm ranks or suffer 3 strain.,SOTB
Rain of Death,4,Active (Maneuver),No,Perform Rain of Death maneuver to ignore Auto-fire increased difficulty this turn.,FIB; DC
Reflect (Supreme),4,Active (Incidental; Out of Turn),No,Must have Reflect talent. If did not make combat check last turn suffer 1 strain to use Reflect.,FCRB
Reinforced Frame,4,Passive,No,Must have Signature Vehicle talent. Signature Vehicle gains Massive 1 quality.,SOT
Reroute Processors,4,Active (Action),No,Once per encounter make Average Computers check to reduce one artificial life characteristic by 1 and increase another.,SM
Resist Questioning (Improved),4,Passive,No,When ally within short range targeted by social check use Resist Questioning. If fails spend despair to provide false information they believe.,CAM
Resolve,4,Passive,Yes,When involuntarily suffering strain suffer 1 less per rank minimum 1.,ABGR; ACRB; EBGR; ECRB
Savvy Negotiator,4,Active (Action),No,During debate make Hard Negotiation check. Number of bystanders equal to Presence see opponent's point as unreasonable.,DOH
Scathing Tirade (Supreme),4,Active (Incidental),No,Must have Scathing Tirade talent. Suffer 1 strain to use Scathing Tirade as maneuver instead of action.,GCRB
Second Chances,4,Active (Incidental),Yes,Once per encounter choose positive dice equal to ranks and reroll.,SOT; FC
Seen a Lot of Things,4,Passive,No,When failing Knowledge check spend triumph to roll again next turn.,DOR
Showboat,4,Active (Incidental),No,When making vehicle check suffer 2 strain to gain triumph on success or despair on failure.,SOT
Signature Spell (Improved),4,Passive,No,Must have Signature Spell talent. Reduce casting difficulty by two instead of one.,ROT
Skilled Slicer,4,Active (Incidental),No,When making Computers check spend triumph to make further Computers checks within system as maneuvers.,ACRB; ECRB
Strength of Faith,4,Active (Maneuver),No,Once per session add successes equal to Discipline ranks and advantages equal to Willpower to next Divine check.,GEPG
Speaks Binary (Improved),4,Passive,No,Must have Speaks Binary talent. NPCs grant additional setback besides other benefits.,SM
Spit Fire,4,Passive,No,After successful combined check with two Ranged (Light) weapons allocate additional hits to other targets within range.,FC
Spur (Improved),4,Active (Maneuver),No,Must have Spur talent. Suffer 1 strain to attempt Spur as maneuver with Average difficulty.,SOT
Steady Aim,4,Passive,No,Do not lose Aim maneuver benefits performing other maneuvers including moving.,DOR
